name,type,start_time,duration,"value"
"JTAG","v1frame",7.894027875,0.000011438,"Shift-DR
0x04000000000 (41)
0x0401FFFFF04 (41)"
"JTAG","v1frame",7.894039344,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.894039781,0.000000219,"Update-DR"
"JTAG","v1frame",7.894040031,0.000203531,"Run-Test/Idle"
"JTAG","v1frame",7.894243594,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.894243875,0.000000219,"Select-IR-Scan"
"JTAG","v1frame",7.894244125,0.00000025,"Capture-IR"
"JTAG","v1frame",7.894244406,0.000001625,"Shift-IR
0x11 (5)
0x11 (5)"
"JTAG","v1frame",7.894246062,0.000000406,"Exit1-IR"
"JTAG","v1frame",7.8942465,0.00000025,"Update-IR"
"JTAG","v1frame",7.894246781,0.000000375,"Run-Test/Idle"
"JTAG","v1frame",7.894247188,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.894247469,0.00000025,"Capture-DR"
"JTAG","v1frame",7.89424775,0.000011406,"Shift-DR
0x04000000001 (41)
0x00000000000 (41)"
"JTAG","v1frame",7.894259188,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.894259625,0.00000025,"Update-DR"
"JTAG","v1frame",7.894259906,0.000165562,"Run-Test/Idle"
"JTAG","v1frame",7.8944255,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.894425781,0.000000219,"Capture-DR"
"JTAG","v1frame",7.894426031,0.000011437,"Shift-DR
0x04000000000 (41)
0x04000000003 (41)"
"JTAG","v1frame",7.8944375,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.894437938,0.000000219,"Update-DR"
"JTAG","v1frame",7.894438187,0.000248406,"Run-Test/Idle"
"JTAG","v1frame",7.894686625,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.894686875,0.00000025,"Select-IR-Scan"
"JTAG","v1frame",7.894687156,0.000000219,"Capture-IR"
"JTAG","v1frame",7.894687406,0.000001656,"Shift-IR
0x10 (5)
0x11 (5)"
"JTAG","v1frame",7.894689094,0.000000375,"Exit1-IR"
"JTAG","v1frame",7.8946895,0.00000025,"Update-IR"
"JTAG","v1frame",7.894689781,0.000000406,"Run-Test/Idle"
"JTAG","v1frame",7.894690219,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.894690469,0.00000025,"Capture-DR"
"JTAG","v1frame",7.89469075,0.000009125,"Shift-DR
0x00010000 (32)
0x00007C71 (32)"
"JTAG","v1frame",7.894699906,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.894700344,0.00000025,"Update-DR"
"JTAG","v1frame",7.894700625,0.000000375,"Run-Test/Idle"
"JTAG","v1frame",7.894701031,0.00000025,"Select-DR-Scan"
